IDENTIFIER	sex	genotype	color
RU109_1358	M	WT	A
RU109_1388	F	WT	A
RU109_1422	M	WT	A
RU109_1460	M	WT	A
RU109_1492	F	WT	A
RU109_1383	M	WT	A
RU109_1416	M	WT	A
RU109_1456	M	WT	A
RU109_1490	M	WT	A
RU109_1518	M	WT	W
RU109_1359	M	KO	A
RU109_1390	F	KO	W
RU109_1417	M	KO	A
RU109_1445	F	KO	W
RU109_1487	F	KO	W
RU109_1541	F	KO	W
RU109_1361	F	KO	W
RU109_1399	M	KO	A
RU109_1418	M	KO	W
RU109_1355	M	KO	A
